Date,USD_CNY_Rate,US_Interest_Rate,US_CPI,CN_CPI,CN_LPR,Gold_Price,SP500_Close,CN_M2,CN_Stock_Price
2017-09-30,6.6533,1.15,246.435,104.1,1.25,3079.52,2519.36,165566206768995.0,90.99416
2017-10-31,6.6328,1.15,246.626,104.2,1.25,3040.18,2575.26,165343415785166.0,91.40186
2017-11-30,6.609,1.16,247.284,104.2,1.25,3040.74,2647.58,167001339753416.0,91.67085
2017-12-31,6.5063,1.3,247.805,104.5,1.25,3085.85,2673.61,169023533554568.0,89.11232
2018-01-31,6.2841,1.41,248.859,105.2,1.5,3159.85,2823.81,172081445272825.0,93.35605
2018-02-28,6.328,1.42,249.529,106.5,1.5,3100.4,2713.83,172907011807809.0,88.52797
2018-03-31,6.2726,1.51,249.577,105.3,1.5,3119.32,2640.87,173985947770954.0,87.87057
2018-04-30,6.3325,1.69,250.227,105.1,1.5,3087.1,2648.05,173768372950626.0,84.49294
2018-05-31,6.4096,1.7,250.792,104.9,1.5,3037.96,2705.27,174306379232330.0,85.07178
2018-06-30,6.6171,1.82,251.018,104.9,1.5,2929.49,2718.37,177017837280000.0,80.63036
2018-07-31,6.8038,1.91,251.214,105.2,1.75,2855.88,2816.29,177619610516409.0,76.32600000000001
2018-08-31,6.83,1.91,251.663,105.9,1.75,2799.17,2901.52,178867042970175.0,74.35361999999999
2018-09-30,6.868,1.95,252.182,106.6,1.75,2775.1,2913.98,180166558147986.0,73.77574
2018-10-31,6.9737,2.19,252.772,106.8,2.0,2830.11,2711.74,179556159556340.0,71.68844
2018-11-30,6.9558,2.2,252.594,106.4,2.0,2823.05,2760.17,181317506539151.0,71.18369
2018-12-31,6.8755,2.27,252.767,106.5,2.0,2936.22,2506.85,182674421936410.0,69.53076999999999
2019-01-31,6.6958,2.4,252.561,107.0,2.0,3016.56,2704.1,186593532659733.0,69.14452
2019-02-28,6.6912,2.4,253.319,108.1,2.0,3002.88,2784.49,186742744803641.0,74.1101
2019-03-31,6.7112,2.41,254.277,107.7,2.0,2954.35,2834.4,188941213660000.0,82.47263000000001
2019-04-30,6.7347,2.42,255.233,107.8,2.0,2934.34,2945.83,188467032670746.0,86.50896
2019-05-31,6.9027,2.39,255.296,107.8,2.0,2972.5,2752.06,189115369625331.0,79.06300999999999
2019-06-30,6.865,2.38,255.213,107.7,2.0,3091.77,2941.76,192136019033428.0,78.97067
2019-07-31,6.8833,2.4,255.802,108.1,2.0,3108.46,2980.38,191941081632526.0,79.75629
2019-08-31,7.1543,2.13,256.036,108.9,2.0,3204.46,2926.46,193549242773720.0,77.02958000000001
2019-09-30,7.1477,2.04,256.43,109.8,2.0,3091.4,2976.74,193549242773720.0,80.65064
2019-10-31,7.0379,1.83,257.155,110.8,2.0,3166.6,3037.56,193549242773720.0,79.65337
2019-11-30,7.0308,1.55,257.879,111.2,2.0,3053.65,3140.98,193549242773720.0,79.105
